,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento
119,BMW,S 1000 XR,17.200 €,A,Touring,2016,https://www.bmw-motorrad.es,999 cc,160 cv,840 mm
120,BMW,F 700 GS,9.000 €,A/A2,Trail,2016,https://www.bmw-motorrad.es,798 cc,75 cv,820 mm
121,BMW,R 1200 R,13.600 €,A,Naked,2016,https://www.bmw-motorrad.es,1.170 cc,125 cv,790 mm
122,BMW,R 1200 GS,16.600 €,A,Trail,2016,https://www.bmw-motorrad.es,1.170 cc,125 cv,850 mm
123,BMW,R 1200 RS,14.500 €,A,Deportiva,2016,https://www.bmw-motorrad.es,1.170 cc,125 cv,820 mm
124,BMW,F 800 GT,10.400 €,A/A2,Touring,2016,https://www.bmw-motorrad.es,798 cc,90 cv,800 mm
125,BMW,R 1200 RT 2016,18.900 €,A,Touring,2016,https://www.bmw-motorrad.es,1.170 cc,125 cv,805 mm
126,BMW,F 800 R,9.100 €,A/A2,Naked,2016,https://www.bmw-motorrad.es,798 cc,90 cv,790 mm
127,BMW,R nineT,16.450 €,A,Custom,2016,https://www.bmw-motorrad.es,1.170 cc,110 cv,785 mm
128,BMW,G 310 R,5.200 €,A2,Naked,2016,https://www.bmw-motorrad.es,313 cc,34 cv,785 mm
129,BMW,R nineT Scrambler,14.100 €,A,Custom,2016,https://www.bmw-motorrad.es,1.170 cc,110 cv,785 mm
130,BMW,G 650 GS,7.500 €,A2,Trail,2016,https://www.bmw-motorrad.es,652 cc,48 cv,800 mm
131,BMW,S 1000 R,14.350 €,A,Naked,2016,https://www.bmw-motorrad.es,999 cc,160 cv,814 mm
132,Ducati,Panigale V4 SP2 2022,42.390 €,A,Deportiva,2022,https://www.ducati.com/es/es/,1.103 cc,215 cv,835 mm
133,Ducati,Panigale V4S 2022,32.990 €,A,Deportiva,2022,https://www.ducati.com/es/es/,1.103 cc,215 cv,850 mm
134,Ducati,Panigale V4 2022,27.390 €,A,Deportiva,2022,https://www.ducati.com/es/es/,1.103 cc,215 cv,850 mm
135,Ducati,Desert X 2022,16.290 €,A,Trail,2022,https://www.ducati.com/es/es/,937 cc,110 cv,875 mm
136,Ducati,Streetfighter V4 SP 2022,34.990 €,A,Naked,2022,https://www.ducati.com/es/es/,1.103 cc,208 cv,845 mm
137,Ducati,Streetfighter V2 2022,17.990 €,A,Naked,2022,https://www.ducati.com/es/es/,955 cc,153 cv,845 mm
138,Ducati,Scrambler Urban Motard 2022,11.690 €,A/A2,Naked,2022,https://www.ducati.com/es/es/,803 cc,73 cv,805 mm
139,Ducati,Scrambler 1100 Tribute Pro 2022,14.290 €,A,Naked,2022,https://www.ducati.com/es/es/,1.079 cc,86 cv,810 mm
140,Ducati,Multistrada V4 S 2022,23.990 €,A,Trail,2022,https://www.ducati.com/es/es/,1.158 cc,170 cv,840 mm
141,Ducati,Multistrada V4 S Travel 2022,23.990 €,A,Trail,2022,https://www.ducati.com/es/es/,1.158 cc,170 cv,840 mm
142,Ducati,Multistrada V4 2022,20.890 €,A,Trail,2022,https://www.ducati.com/es/es/,1.158 cc,170 cv,840 mm
143,Ducati,Multistrada V2 S Travel 2022,18.820 €,A,Trail,2022,https://www.ducati.com/es/es/,937 cc,113 cv,830 mm
144,Ducati,Multistrada V2 S 2022,17.590 €,A,Trail,2022,https://www.ducati.com/es/es/,937 cc,113 cv,830 mm
145,Ducati,Multistrada V2 2022,14.990 €,A,Trail,2022,https://www.ducati.com/es/es/,937 cc,113 cv,830 mm
146,Ducati,Panigale V2 Troy Bayliss 2021,22.490 €,A,Deportiva,2021,https://www.ducati.com/es/es/,955 cc,155 cv,840 mm
147,Ducati,1260 Diavel S Black and Steel 2021,25.190 €,A,Custom,2021,https://www.ducati.com/es/es/,1.262 cc,162 cv,780 mm
148,Ducati,Monster Plus A2 2021,12.190 €,A2,Naked,2021,https://www.ducati.com/es/es/,937 cc,47 cv,800 mm
149,Ducati,Monster A2 2021,11.790 €,A/A2,Naked,2021,https://www.ducati.com/es/es/,937 cc,47 cv,800 mm
150,Ducati,Monster Plus 2021,12.190 €,A/A2,Naked,2021,https://www.ducati.com/es/es/,937 cc,111 cv,800 mm
151,Ducati,Monster 2021,11.790 €,A/A2,Naked,2021,https://www.ducati.com/es/es/,937 cc,111 cv,800 mm
152,Ducati,Panigale V4 SP 2021,39.990 €,A,Deportiva,2021,https://www.ducati.com/es/es/,1.103 cc,214 cv,835 mm
